boxID,line,page,x,y,w,h
0,1,0,280,477.15,2410,222.7
1,2,0,197,724.5,2494,221
2,3,0,197,973.15,2494,222.7
3,4,0,197,1216.75,2495,229.5
4,5,0,199,1468.8,2494,224.39999999999998
5,6,0,199,1739.5,2493,221
6,7,0,201,2009.85,2492,219.3
7,8,0,202,2252.75,2494,229.5
8,9,0,204,2500.7,2493,234.6
9,10,0,203,2749.7,2494,234.6
10,11,0,204,3001.75,2493,229.5
11,12,0,205,3250.75,2494,229.5
12,1,1,330,264.1,2493,227.8
13,2,1,331,508.7,2493,234.6
14,3,1,333,754.9,2491,248.2
15,4,1,332,1028.4,2492,231.2
16,5,1,332,1297.4,2492,231.2
17,6,1,333,1566.4,2493,231.2
18,7,1,332,1835.4,2495,231.2
19,8,1,334,2098.3,2495,241.39999999999998
20,9,1,335,2391.95,2497,243.1
21,10,1,337,2668.05,2494,232.89999999999998
22,11,1,339,2976,2492,238
23,12,1,339,3247.7,2494,234.6
24,1,2,204,240.45,2493,226.1
25,2,2,203,466.4,2491,231.2
26,3,2,202,716.1,2492,227.8
27,4,2,206,985.45,2490,226.1
28,5,2,203,1211.05,2494,232.89999999999998
29,6,2,208,1470.95,2489,243.1
30,7,2,208,1728.4,2489,231.2
31,8,2,209,2020.1,2489,227.8
32,9,2,209,2265,2491,238
33,10,2,212,2516.65,2489,239.7
34,11,2,211,2767.7,2491,234.6
35,12,2,213,3016.7,2490,234.6
36,13,2,215,3244.7,2490,234.6
37,1,3,329,260,2491,238
38,2,3,331,545.25,2490,246.5
39,3,3,331,833.9,2492,248.2
40,4,3,333,1145.25,2491,246.5
41,5,3,337,1433.9,2491,248.2
42,6,3,337,1724.25,2491,246.5
43,7,3,338,2019,2492,238
44,8,3,341,2280.5,2496,255
45,9,3,343,2553.15,2496,256.7
46,10,3,428,2970.55,2410,249.89999999999998
47,11,3,347,3238.85,2494,253.3
48,1,4,242,271.45,2490,226.1
49,2,4,240,558.7,2491,234.6
50,3,4,240,832.65,2489,273.7
51,4,4,238,1132.1,2491,261.8
52,5,4,238,1427.15,2491,256.7
53,6,4,235,1689.5,2494,289
54,7,4,237,2055.9,2493,214.2
55,8,4,237,2343.45,2493,226.1
56,9,4,234,2638.8,2494,224.39999999999998
57,10,4,234,2949.5,2493,221
58,11,4,233,3239.15,2494,222.7
59,1,5,293,280.9,2493,214.2
60,2,5,294,547.85,2492,219.3
61,3,5,293,775.2,2492,217.6
62,4,5,294,1001.85,2491,219.3
63,5,5,293,1231.2,2492,217.6
64,6,5,374,1604.2,2410,217.6
65,7,5,290,1851.85,2493,219.3
66,8,5,289,2077.5,2493,221
67,9,5,293,2275.4,2495,299.2
68,10,5,290,2505.05,2497,300.9
69,11,5,288,2775.95,2498,277.1
70,12,5,289,3038.55,2496,215.89999999999998
71,13,5,290,3284.15,2496,222.7
72,1,6,250,269.1,2491,227.8
73,2,6,250,515.05,2491,232.89999999999998
74,3,6,246,763.75,2494,229.5
75,4,6,245,1013.1,2493,227.8
76,5,6,245,1262.45,2492,226.1
77,6,6,243,1491.45,2493,226.1
78,7,6,240,1716.4,2494,231.2
79,8,6,241,1962.7,2492,234.6
80,9,6,239,2215.1,2495,227.8
81,10,6,236,2489.45,2497,226.1
82,11,6,235,2760.5,2495,221
83,12,6,235,2985.75,2494,229.5
84,13,6,234,3256.8,2494,224.39999999999998
85,1,7,274,267.55,2490,215.89999999999998
86,2,7,274,536.2,2491,217.6
87,3,7,274,783.85,2491,219.3
88,4,7,274,1033.9,2491,214.2
89,5,7,274,1300.5,2492,221
90,6,7,274,1570.2,2489,217.6
91,7,7,273,1857.05,2492,232.89999999999998
92,8,7,276,2121.65,2493,239.7
93,9,7,274,2395.35,2497,236.3
94,10,7,274,2690.15,2496,222.7
95,11,7,271,2958.45,2499,226.1
96,12,7,276,3216.3,2494,275.4
